data,d
01-01,0.98331
01-02,0.98330
01-03,0.98330
01-04,0.98330
01-05,0.98330
01-06,0.98332
01-07,0.98333
01-08,0.98335
01-09,0.98338
01-10,0.98341
01-11,0.98345
01-12,0.98349
01-13,0.98354
01-14,0.98359
01-15,0.98365
01-16,0.98371
01-17,0.98378
01-18,0.98385
01-19,0.98393
01-20,0.98401
01-21,0.98410
01-22,0.98419
01-23,0.98428
01-24,0.98439
01-25,0.98449
01-26,0.98460
01-27,0.98472
01-28,0.98484
01-29,0.98496
01-30,0.98509
01-31,0.98523
02-01,0.98536
02-02,0.98551
02-03,0.98565
02-04,0.98580
02-05,0.98596
02-06,0.98612
02-07,0.98628
02-08,0.98645
02-09,0.98662
02-10,0.98680
02-11,0.98698
02-12,0.98717
02-13,0.98735
02-14,0.98755
02-15,0.98774
02-16,0.98794
02-17,0.98814
02-18,0.98835
02-19,0.98856
02-20,0.98877
02-21,0.98899
02-22,0.98921
02-23,0.98944
02-24,0.98966
02-25,0.98989
02-26,0.99012
02-27,0.99036
02-28,0.99060
02-29,0.99084
03-01,0.99108
03-02,0.99133
03-03,0.99158
03-04,0.99183
03-05,0.99208
03-06,0.99234
03-07,0.99260
03-08,0.99286
03-09,0.99312
03-10,0.99339
03-11,0.99365
03-12,0.99392
03-13,0.99419
03-14,0.99446
03-15,0.99474
03-16,0.99501
03-17,0.99529
03-18,0.99556
03-19,0.99584
03-20,0.99612
03-21,0.99640
03-22,0.99669
03-23,0.99697
03-24,0.99725
03-25,0.99754
03-26,0.99782
03-27,0.99811
03-28,0.99840
03-29,0.99868
03-30,0.99897
03-31,0.99926
04-01,0.99954
04-02,0.99983
04-03,1.00012
04-04,1.00041
04-05,1.00069
04-06,1.00098
04-07,1.00127
04-08,1.00155
04-09,1.00184
04-10,1.00212
04-11,1.00240
04-12,1.00269
04-13,1.00297
04-14,1.00325
04-15,1.00353
04-16,1.00381
04-17,1.00409
04-18,1.00437
04-19,1.00464
04-20,1.00492
04-21,1.00519
04-22,1.00546
04-23,1.00573
04-24,1.00600
04-25,1.00626
04-26,1.00653
04-27,1.00679
04-28,1.00705
04-29,1.00731
04-30,1.00756
05-01,1.00781
05-02,1.00806
05-03,1.00831
05-04,1.00856
05-05,1.00880
05-06,1.00904
05-07,1.00928
05-08,1.00952
05-09,1.00975
05-10,1.00998
05-11,1.01020
05-12,1.01043
05-13,1.01065
05-14,1.01087
05-15,1.01108
05-16,1.01129
05-17,1.01150
05-18,1.01170
05-19,1.01191
05-20,1.01210
05-21,1.01230
05-22,1.01249
05-23,1.01267
05-24,1.01286
05-25,1.01304
05-26,1.01321
05-27,1.01338
05-28,1.01355
05-29,1.01371
05-30,1.01387
05-31,1.01403
06-01,1.01418
06-02,1.01433
06-03,1.01447
06-04,1.01461
06-05,1.01475
06-06,1.01488
06-07,1.01500
06-08,1.01513
06-09,1.01524
06-10,1.01536
06-11,1.01547
06-12,1.01557
06-13,1.01567
06-14,1.01577
06-15,1.01586
06-16,1.01595
06-17,1.01603
06-18,1.01610
06-19,1.01618
06-20,1.01625
06-21,1.01631
06-22,1.01637
06-23,1.01642
06-24,1.01647
06-25,1.01652
06-26,1.01656
06-27,1.01659
06-28,1.01662
06-29,1.01665
06-30,1.01667
07-01,1.01668
07-02,1.01670
07-03,1.01670
07-04,1.01670
07-05,1.01670
07-06,1.01669
07-07,1.01668
07-08,1.01666
07-09,1.01664
07-10,1.01661
07-11,1.01658
07-12,1.01655
07-13,1.01650
07-14,1.01646
07-15,1.01641
07-16,1.01635
07-17,1.01629
07-18,1.01623
07-19,1.01616
07-20,1.01609
07-21,1.01601
07-22,1.01592
07-23,1.01584
07-24,1.01575
07-25,1.01565
07-26,1.01555
07-27,1.01544
07-28,1.01533
07-29,1.01522
07-30,1.01510
07-31,1.01497
08-01,1.01485
08-02,1.01471
08-03,1.01458
08-04,1.01444
08-05,1.01429
08-06,1.01414
08-07,1.01399
08-08,1.01383
08-09,1.01367
08-10,1.01351
08-11,1.01334
08-12,1.01317
08-13,1.01299
08-14,1.01281
08-15,1.01263
08-16,1.01244
08-17,1.01225
08-18,1.01205
08-19,1.01186
08-20,1.01165
08-21,1.01145
08-22,1.01124
08-23,1.01103
08-24,1.01081
08-25,1.01060
08-26,1.01037
08-27,1.01015
08-28,1.00992
08-29,1.00969
08-30,1.00946
08-31,1.00922
09-01,1.00898
09-02,1.00874
09-03,1.00850
09-04,1.00825
09-05,1.00800
09-06,1.00775
09-07,1.00750
09-08,1.00724
09-09,1.00698
09-10,1.00672
09-11,1.00646
09-12,1.00620
09-13,1.00593
09-14,1.00566
09-15,1.00539
09-16,1.00512
09-17,1.00485
09-18,1.00457
09-19,1.00430
09-20,1.00402
09-21,1.00374
09-22,1.00346
09-23,1.00318
09-24,1.00290
09-25,1.00262
09-26,1.00234
09-27,1.00205
09-28,1.00177
09-29,1.00148
09-30,1.00119
10-01,1.00091
10-02,1.00062
10-03,1.00033
10-04,1.00005
10-05,0.99976
10-06,0.99947
10-07,0.99918
10-08,0.99890
10-09,0.99861
10-10,0.99832
10-11,0.99804
10-12,0.99775
10-13,0.99747
10-14,0.99718
10-15,0.99690
10-16,0.99662
10-17,0.99634
10-18,0.99605
10-19,0.99577
10-20,0.99550
10-21,0.99522
10-22,0.99494
10-23,0.99467
10-24,0.99440
10-25,0.99412
10-26,0.99385
10-27,0.99359
10-28,0.99332
10-29,0.99306
10-30,0.99279
10-31,0.99253
11-01,0.99228
11-02,0.99202
11-03,0.99177
11-04,0.99152
11-05,0.99127
11-06,0.99102
11-07,0.99078
11-08,0.99054
11-09,0.99030
11-10,0.99007
11-11,0.98983
11-12,0.98961
11-13,0.98938
11-14,0.98916
11-15,0.98894
11-16,0.98872
11-17,0.98851
11-18,0.98830
11-19,0.98809
11-20,0.98789
11-21,0.98769
11-22,0.98750
11-23,0.98731
11-24,0.98712
11-25,0.98694
11-26,0.98676
11-27,0.98658
11-28,0.98641
11-29,0.98624
11-30,0.98608
12-01,0.98592
12-02,0.98577
12-03,0.98562
12-04,0.98547
12-05,0.98533
12-06,0.98519
12-07,0.98506
12-08,0.98493
12-09,0.98481
12-10,0.98469
12-11,0.98457
12-12,0.98446
12-13,0.98436
12-14,0.98426
12-15,0.98416
12-16,0.98407
12-17,0.98399
12-18,0.98391
12-19,0.98383
12-20,0.98376
12-21,0.98370
12-22,0.98363
12-23,0.98358
12-24,0.98353
12-25,0.98348
12-26,0.98344
12-27,0.98340
12-28,0.98337
12-29,0.98335
12-30,0.98333
12-31,0.98331
